"","x"
"(Intercept)",0.0255025641173352
"treeBirch",0.0584879813663373
"treePine",0.0351088637681762
"treeSpruce",0.0646581363088922
"volume",0.105921492163606
"decay",0.0692446308231596
"index",0.265590142805441
