"","Amphinema.byssoides","Amyloporia.sinuosa","Annulohypoxylon.multiforme","Antrodia.serialis","Aphanobasidium.pseudotsugae","Arachnopeziza.aurata","Arachnopeziza.cornuta","Ascocoryne.cylichnium","Athelia.decipiens","Athelia.neuhoffii","Bertia.moriformis","Bisporella.citrina","Botryobasidium.botryosum","Botryobasidium.subcoronatum","Botryohypochnus.isabellinus","Capronia.cf.pilosella","Ceraceomyces.eludens","Ceratosphaeria.rhenana","Ciliolarina.neglecta","Claussenomyces.atrovirens","Coniophora.olivacea","Dacrymyces.stillatus","Dacrymyces.tortus","Fomes.fomentarius","Fomitopsis.pinicola","Globulicium.hiemale","Gymnopilus.penetrans","Hyaloscypha.aureliella","Hyaloscypha.fuckelii","Hyaloscypha.intacta","Hyaloscypha.leuconica","Hyaloscypha.vitreola","Hyphoderma.setigerum","Hyphodontia.subalutacea","Hysterium.pulicare","Junghuhnia.luteoalba","Kurtia.argillacea","Lachnum.corticale","Lachnum.sp1.","Lachnum.virgineum","Lasiosphaeria.hirsuta.tuberculosa.complex","Lentomitella.cirrhosa","Lentomitella.crinigera","Leptodontidium.trabinellum","Lophium.mytilinum","Melanomma.cf.fuscidulum","Melanomma.pulvis.pyrius","Menispora.cf.glauca.caesia","Merismodes.anomala","Mollisia.sp1.","Mucronella.calva","Mycena.epipterygia","Mycena.rubromarginata","Mycena.stipata","Nemania.serpens","Orbilia.delicatula","Orbilia.sp1.","Orbilia.sp4.","Patinellaria.sanguinea","Peniophorella.praetermissa","Phanerochaete.velutina","Phellinus.ferrugineofuscus","Phellinus.viticola","Piloderma.bicolor","Piloderma.byssinum","Propolis.farinosa","Pseudoplectania.nigrella","Resinicium.bicolor","Resinicium.furfuraceum","Sistotrema.brinkmannii","Skeletocutis.biguttulata","Subulicystidium.longisporum","Tomentella.lapida","Trichaptum.abietinum","Tubulicrinis.borealis","Tubulicrinis.calothtrix","Tubulicrinis.subulatus","Tylospora.fibrillosa","Xenasmatella.vaga","Xylodon.asperus","Xylodon.brevisetus"
"tree",0.925653024592659,0.983528039763966,0.998793769302973,0.989908272278004,0.997660630990947,0.999840720720514,0.998466610009063,0.845453343591638,0.583890770628095,0.696455965402616,0.0468889700721944,0.997925323649894,0.744118982259699,0.387944710337806,0.553497033390878,0.521788206314914,0.967482500125144,0.617618842957881,0.957862770035077,0.81325303616648,0.419156213898007,0.999913192746216,0.999303233387319,0.999727802364122,0.778559036357896,0.497002762448921,0.569702344928809,0.946171587393191,0.834515500294497,0.999398136024175,0.61122233485632,0.999227621339335,0.997896513115912,0.67573514181883,0.990936137436076,0.919600268245303,0.449366457279555,0.999573494029542,0.943430093908739,0.987705094141238,0.936725020722623,0.746328420462181,0.472740538187001,0.999519215810521,0.734641286901603,0.497372049630833,0.999709526727286,0.999794541027284,0.934473150629755,0.850143428251298,0.916078058230681,0.998705518245734,0.999638674870013,0.999789558683228,0.99993987970285,0.789297842971528,0.836190701583246,0.605216679700536,0.99815178588683,0.332308209586536,0.564855801178915,0.922054593103303,0.977790557978552,0.362456722115155,0.372395253867935,0.999947177986937,0.354357704145406,0.447550505458474,0.99312520080838,0.733178111515808,0.967685978102466,0.999155187135544,0.792004467336959,0.795341324649504,0.993624464580537,0.830180400771179,0.944987875533471,0.366165344848582,0.330593528560687,0.198352715939761,0.775769901839445
"volume",0.0217858175492024,0.00356839537074077,0.000556963779139837,0.00537216644714469,0.00180986201617208,2.10449410988646e-05,0.000794538756597503,0.0229836588096889,0.325896512703933,0.0842716126964233,0.742484477715395,0.00153094515040427,0.0807926116585422,0.0943526816632589,0.273930571361692,0.132342458266803,0.0115880980900218,0.0764030028268739,0.0230035606555923,0.0190927468242335,0.0928723609283876,6.5539743732819e-05,6.58971033951688e-05,0.00018380218056396,0.133816952928908,0.485175083410055,0.0509103906192173,0.0445043156874712,0.114167379895435,0.000134542451095483,0.130612492245266,0.000166824452780101,0.000489997809306041,0.209560255375863,0.00122159292755143,0.0413223146847776,0.0518922652476845,0.000192661089551224,0.015567144424418,0.00166479065509528,0.0489809731019546,0.0478176072850591,0.241908125987738,0.000102238975948515,0.252655542168882,0.142618196858421,5.69670225994485e-05,2.8698964324887e-05,0.0167162040816221,0.0506560368856071,0.0644125735403296,0.000875888851149569,0.000271429387908388,0.000169319800164488,2.13498840078578e-05,0.0808095369825991,0.0255280363947761,0.0570230379760608,0.000201534410879783,0.454740193890989,0.256131976750893,0.0276323423682698,0.00911690936857898,0.129487622302027,0.101087020655383,1.61990041084572e-05,0.398142260506127,0.152724412342928,0.00284207041873288,0.0699709878604801,0.00645087348959823,0.00047652709063242,0.0742040105285328,0.123045687536358,0.00311802610480601,0.0434163627132079,0.0139056538624513,0.282259835584805,0.0744486075725567,0.418762616099002,0.0581731773844287
"decay",0.0385914350835832,0.0044459448729141,0.000363564864737442,0.00113161410305018,0.000188613387978662,2.74988594615093e-05,0.000297947295101607,0.0257454786699089,0.020471897418293,0.0840025035188582,0.132184643126321,0.000260126353254881,0.0738694661592842,0.427626094811506,0.111302827156794,0.113791255246486,0.00705601683456728,0.248866211187954,0.0159807737273631,0.152910866665767,0.0843467508822005,5.94490795393401e-06,0.000378658172017055,1.79940985187388e-05,0.0626359701796306,0.00332918191649508,0.317265661746596,0.00101814673093244,0.0223247124156893,0.000305783039361755,0.155707911733123,0.00019683832063448,0.000660410055356732,0.060689690022231,0.00549309446918015,0.018567970356106,0.430384950119938,7.69533814448141e-05,0.0178187684803371,0.00446626605986882,0.00386763274618261,0.136300236499211,0.144468683227648,0.000132273861123799,0.00470072972743962,0.23973812976814,0.000167380638211146,0.000154314971992513,0.0114100548361659,0.0482056822903521,0.0105260339237129,0.000276791511676902,3.84634304616886e-05,1.64250925470363e-05,1.64286657558136e-05,0.05619946570579,0.0302378170164578,0.18685865691414,0.000661454324605296,0.107333607157285,0.0631626922282472,0.00755399536432248,0.00353741133443608,0.127623337816583,0.320959631294936,1.71590633902382e-05,0.012867175551205,0.131261636042125,0.00176680856560668,0.127309486921506,0.010899235658439,0.000208492314856092,0.0860593721346454,0.0485069843773557,0.00181235367709278,0.0246990360050286,0.0182981571674855,0.144982660274124,0.0678298188886219,0.0649552663773955,0.0570905679503363
"index",0.0106787569836462,0.00763173453418334,0.000269365961488084,0.0033420753201263,0.000224928729192914,0.000104306643087333,0.000390878294988968,0.0850202179926613,0.056920109188894,0.0893508078215113,0.0541296155059215,0.000246519162995131,0.08611751086079,0.0715685872986726,0.0539707896687979,0.201770222189677,0.0126239184721029,0.0488721843958271,0.00211269051027043,0.0105137939201855,0.381451856005458,1.34323023034916e-05,0.000226795671155939,6.42986452163451e-05,0.0186750848828605,0.0109500517018575,0.0522038703451398,0.0078492662662179,0.0196684571669704,0.000139297923243752,0.0726594969207408,0.000393902207245024,0.000920443963916724,0.0410060820222224,0.0014769781755679,0.0157403529825708,0.0451596059293146,0.000146002499753046,0.0177500830470572,0.00578693982212756,0.00789735331999756,0.0477466563556093,0.105221387441087,0.000165080936774082,0.000302136905256679,0.101523237621445,5.10166130850861e-05,1.42506792085772e-05,0.0255730819412667,0.04361341980487,0.00703658829872641,0.0001356560042052,4.69799297638781e-05,1.97093476863211e-05,1.84855354982853e-05,0.0584193222392253,0.102549236369234,0.136805172619159,0.000926881670842448,0.0894951171769134,0.105540721350506,0.0398925471114238,0.0074440215298149,0.350221735438022,0.113305032614299,1.81337109565398e-05,0.152680827359473,0.209377087978468,0.0018203041810371,0.0638187360743152,0.0141011625932815,0.000125227951529725,0.0286735642075774,0.0227364199197717,0.000688482034518649,0.0919137254538695,0.0194797129460886,0.16432270758246,0.497955405486671,0.304229472848518,0.103785743167985
"Random: site",0.00210694156195933,0.000405955158216264,9.0950864434762e-06,0.000149729206930185,6.84180007993028e-05,4.05664994311605e-06,3.48240898734693e-05,0.0153045373807903,0.0107393941316828,0.0110160793029589,0.000503873442192439,2.00627729506827e-05,0.00956033725309782,0.0110868516824275,0.00377719291008543,0.0140647375942417,0.000449607954043914,0.00618467356469835,0.000370179799450933,0.00328451397444312,0.0116007240762202,1.31911095079443e-06,2.25125513180576e-05,2.78837011092179e-06,0.00474046363867736,3.50089614260238e-05,0.00454737465683322,0.000231563846696328,0.00654276504695004,1.18890961515331e-05,0.0071758108261175,9.60205965097845e-06,1.37414077831687e-05,0.00862922236618361,5.34219976193484e-06,0.00153560260548351,0.0122535763318456,7.30190107518759e-06,0.00316698338544077,0.00016716664565344,1.53018280724453e-05,0.0132013973736559,0.0191018644585718,5.98218941773032e-05,0.000141631591394992,0.0123139163330405,1.01178710249068e-05,2.91741006736107e-06,0.00119278240667984,0.00461648996542044,0.00165055070087182,3.58281926535656e-06,3.12350990505989e-06,1.90137373962397e-06,1.07589746274886e-06,0.00751303004609264,0.00292155300437882,0.00815128968105474,3.13755702325334e-05,0.0110313601444106,0.00619058222152669,0.00195917914598828,0.00139689553483111,0.0226194049697204,0.0804571827947915,9.68833475895801e-07,0.0064576261948765,0.0505698126537346,0.000351127491546412,0.00391057179470928,0.000458108258170774,1.2908650637168e-05,0.00433793740685343,0.00408118044329102,0.000144450601200244,0.00777194291639203,0.00114229181046351,0.0198065775922634,0.0174113592350616,0.00907266122805632,0.00376745301305312
"Random: id",0.00118402422894962,0.000419930299980164,7.24100521736998e-06,9.61426447442931e-05,4.75468749096249e-05,2.37218589469716e-06,1.520155437526e-05,0.00549276355531296,0.00208131592910254,0.0349030312576319,0.0238084201379759,1.70229105016823e-05,0.00554109180858698,0.00742107420632837,0.00352158551175205,0.0162431203878789,0.000799858524120255,0.00205508506676617,0.000670025272246103,0.000945042448891245,0.0105720942097254,5.71188842113836e-07,2.9031147948647e-06,3.31434146859938e-06,0.0015724920120273,0.00350791156124646,0.00537035770340407,0.000225120075490979,0.00278118518045859,1.03514659718338e-05,0.022621953418432,5.21162035379956e-06,1.88936477256098e-05,0.00437960839467026,0.000866854791862125,0.00323349112575766,0.0109431450916624,3.58709863294932e-06,0.00226692675400846,0.000209742676016884,0.00251371828116975,0.00860568202428239,0.0165594006979542,2.13685214544829e-05,0.00755867270542253,0.0064344697881214,4.99112779370007e-06,5.27694712308361e-06,0.0106347261045109,0.00276494280245237,0.000296195305678383,2.56256796946129e-06,1.32887194784694e-06,3.08570263444691e-06,2.78031442532362e-06,0.00776080205476379,0.00257265563190743,0.00594516310904894,2.69681366090372e-05,0.00509151204386712,0.00411822626991227,0.000907342906692998,0.000714204253787417,0.00759117735849386,0.0117958787726554,3.61401130584288e-07,0.0754944062429125,0.0085165455242695,9.44885346968106e-05,0.00181210583318191,0.00040464189804425,2.16568568005884e-05,0.0147206483854331,0.00628840307372036,0.000612223001845061,0.00201853214032363,0.00218630868004062,0.0224628741177653,0.0117612802564014,0.00462726750726791,0.00141315664475249
"TjurR2",0.366631084597533,0.262962197646021,0.227884510653074,0.704148165584046,0.40596938282732,0.253211897777162,0.273381346223122,0.274300755147943,0.259891778431713,0.0846143753310373,0.696009535663057,0.440376872365316,0.0790948444659309,0.08913726661489,0.181831321113516,0.0823969310941947,0.151186204862835,0.198114285705347,0.269094198780194,0.339876589196458,0.0774499558289239,0.306213697080707,0.290213196694606,0.706199212196387,0.237527132088759,0.74709166013005,0.17554669914198,0.925944085103351,0.248255923282104,0.228566883361987,0.0812100313981698,0.309764533600677,0.282419227627584,0.110735200431559,0.788204535564764,0.24563553065099,0.0872010782800599,0.606244177127209,0.140137675543987,0.280270472387602,0.527551734145975,0.112956443415015,0.0350948044413961,0.497652779282152,0.53387792828649,0.056506303661315,0.336831921620403,0.343145631534054,0.567458617034389,0.132912348613363,0.188036466203763,0.522041573614644,0.211784560860696,0.391437780879089,0.247689352652472,0.0916322302592318,0.225529536860753,0.0730576148941449,0.399624392077195,0.0926448464421118,0.112571510864745,0.465429655983955,0.512836512042803,0.0690819541517143,0.0871312532155684,0.322682581376087,0.673173536178336,0.103463421387341,0.283605818439793,0.180083204805809,0.448699950662455,0.229972198009657,0.251392999303936,0.318451904759781,0.395201834728633,0.167538090691722,0.403749944726801,0.043937362652164,0.0639346114742822,0.107263826960119,0.370932833527173
