"","Amphinema.byssoides","Amyloporia.sinuosa","Annulohypoxylon.multiforme","Antrodia.serialis","Aphanobasidium.pseudotsugae","Arachnopeziza.aurata","Arachnopeziza.cornuta","Ascocoryne.cylichnium","Athelia.decipiens","Athelia.neuhoffii","Bertia.moriformis","Bisporella.citrina","Botryobasidium.botryosum","Botryobasidium.subcoronatum","Botryohypochnus.isabellinus","Capronia.cf.pilosella","Ceraceomyces.eludens","Ceratosphaeria.rhenana","Ciliolarina.neglecta","Claussenomyces.atrovirens","Coniophora.olivacea","Dacrymyces.stillatus","Dacrymyces.tortus","Fomes.fomentarius","Fomitopsis.pinicola","Globulicium.hiemale","Gymnopilus.penetrans","Hyaloscypha.aureliella","Hyaloscypha.fuckelii","Hyaloscypha.intacta","Hyaloscypha.leuconica","Hyaloscypha.vitreola","Hyphoderma.setigerum","Hyphodontia.subalutacea","Hysterium.pulicare","Junghuhnia.luteoalba","Kurtia.argillacea","Lachnum.corticale","Lachnum.sp1.","Lachnum.virgineum","Lasiosphaeria.hirsuta.tuberculosa.complex","Lentomitella.cirrhosa","Lentomitella.crinigera","Leptodontidium.trabinellum","Lophium.mytilinum","Melanomma.cf.fuscidulum","Melanomma.pulvis.pyrius","Menispora.cf.glauca.caesia","Merismodes.anomala","Mollisia.sp1.","Mucronella.calva","Mycena.epipterygia","Mycena.rubromarginata","Mycena.stipata","Nemania.serpens","Orbilia.delicatula","Orbilia.sp1.","Orbilia.sp4.","Patinellaria.sanguinea","Peniophorella.praetermissa","Phanerochaete.velutina","Phellinus.ferrugineofuscus","Phellinus.viticola","Piloderma.bicolor","Piloderma.byssinum","Propolis.farinosa","Pseudoplectania.nigrella","Resinicium.bicolor","Resinicium.furfuraceum","Sistotrema.brinkmannii","Skeletocutis.biguttulata","Subulicystidium.longisporum","Tomentella.lapida","Trichaptum.abietinum","Tubulicrinis.borealis","Tubulicrinis.calothtrix","Tubulicrinis.subulatus","Tylospora.fibrillosa","Xenasmatella.vaga","Xylodon.asperus","Xylodon.brevisetus"
"tree",0.915884393898609,0.99893731445838,0.999716671183873,0.999467654510617,0.999812979264103,0.999899420781446,0.986083795861549,0.875731871079172,0.515715631400607,0.618434225501365,0.5699111824164,0.999161014549256,0.627854458607928,0.364375428698351,0.540125133826616,0.495758614611098,0.999590673207178,0.656586163667337,0.994646463877434,0.827550474047911,0.285228662549781,0.999990765837994,0.999907740027153,0.999893884068995,0.696185069262579,0.999995505120638,0.615076774776692,0.998062186579153,0.878824828389902,0.999675156279164,0.530276213020262,0.999529513213023,0.997800696379138,0.511376042286614,0.999997919956176,0.996266359902153,0.500695465517447,0.999926271375615,0.978566843730582,0.990945546313789,0.567793605825659,0.716621813650183,0.532644963138821,0.999742695213004,0.999997020085027,0.501260337216801,0.999850336760968,0.999949482356002,0.999992863815412,0.837460334205275,0.995233393979521,0.99995953721555,0.999982526282268,0.999953312507809,0.99996833010916,0.766189458737936,0.820250713017551,0.622625245429812,0.998628913679711,0.353385604006015,0.535821468890807,0.995997412458462,0.995080376617287,0.409711225609702,0.346998925680682,0.999986777548613,0.416997721611394,0.48078315914194,0.979138620245223,0.776568463668727,0.994917224031011,0.999173234205689,0.606743058601345,0.776128962293732,0.99910784200575,0.830141391822598,0.939506277759469,0.345801681983801,0.360146427895376,0.199110356367373,0.829086163772269
"volume",0.0160954029519913,0.000376032790589701,0.000152622690766391,0.000297590953220172,7.57459630955148e-05,1.43317635604917e-05,0.00129274713928489,0.0279028158888144,0.350609099134167,0.0737613882265993,0.0482396296175823,0.000606438620288558,0.0813810093811453,0.0742406059552294,0.253173935846351,0.101994798349764,0.000110789887177517,0.0778082763081322,0.00230183090683448,0.0239102121662236,0.091836224222463,4.75210615220996e-06,2.47778698041277e-05,7.51416945245531e-05,0.124552778716538,3.78013535276617e-06,0.0545850719070722,0.0013435019681732,0.0682995129546577,7.13701302189452e-05,0.156771504041295,5.46044469766068e-05,0.000667565468875321,0.136530666743067,2.79767228201742e-07,0.00177264277078238,0.0529346816392386,4.0957770399369e-05,0.00260898282203396,0.00237407844948619,0.306082381450918,0.0462982959942382,0.170523497499819,7.33962200314524e-05,1.43649843345191e-06,0.169368587346864,2.39345773149619e-05,8.37370170920568e-06,1.98714252206798e-06,0.0505592936947206,0.0036498492982385,1.54299533991118e-05,7.8612415370876e-06,3.16442259545604e-05,1.13283337044055e-05,0.0577528395293691,0.033657090244504,0.04875737057221,0.000219552525949149,0.387629734762363,0.220357592930159,0.00126320058828187,0.00244379459926063,0.180130932156169,0.0902819335499616,3.28380316196073e-06,0.050486591275208,0.135590276458241,0.00654802402373528,0.0756014117590508,0.00151958701500206,0.00035246741768987,0.0951095506680861,0.123819846049816,0.000316280860829576,0.0560569499536384,0.0112909009762838,0.224637916121196,0.0635739006843895,0.472869036460431,0.0345385805744663
"decay",0.0362613198734007,0.000122599025929489,8.10040789694123e-05,5.5359946024834e-05,1.46563971935362e-05,1.71223917578782e-05,0.000673229225302625,0.016850023654852,0.0168583120897086,0.0756720065780939,0.0762591439681553,6.06990306231605e-05,0.0646163147729761,0.272540918197983,0.0508953990088927,0.102968524274669,5.91013735100639e-05,0.15633657803139,0.00145117980112591,0.110924322862681,0.0443951917972092,7.72387807198151e-07,2.49019431303148e-05,7.59156368701605e-06,0.0492221429560738,7.5940312371319e-08,0.253642890404843,5.38381735337513e-05,0.0155560728094421,9.19719132370352e-05,0.0897924670681911,5.90810049825066e-05,0.00038645047816767,0.0261565773530432,1.29026101801636e-06,0.00045889377496762,0.312834313878128,1.34230717498614e-05,0.00326890274752692,0.00129448301934516,0.00444873940937769,0.0894429492429834,0.0863996446903539,5.68710453551093e-05,2.76551659841942e-07,0.160457805689813,8.47993050380243e-05,2.97956991369301e-05,1.46021795230196e-06,0.0338271240468368,0.000425150804116806,2.5401277275512e-06,2.31819344922292e-06,1.71154681571703e-06,8.61132480379414e-06,0.0413701611315155,0.0214881735216164,0.131641211732299,0.000311233217376903,0.0943770876821221,0.0361982105745184,0.000297011763008851,0.000263955126728576,0.0779299732787926,0.30446209053188,3.68315468167096e-06,0.226472115730107,0.112145039768592,0.00336464520344323,0.0770609016140137,0.0012730289768151,8.69826502585757e-05,0.0946372526483758,0.0274836540634107,0.000124304324923203,0.0162198161485202,0.0128954671228311,0.114858416237711,0.0648029128689325,0.0375349965768733,0.0499723260632833
"index",0.00849422951910245,0.000311888386235483,2.4551695658485e-05,9.50021981125777e-05,1.59993046685912e-05,3.26965306472297e-05,0.000909573350442569,0.0377336246107439,0.067807791363466,0.0868333923917152,0.245880179561383,7.01183882233941e-05,0.0641906770402737,0.0526712916687112,0.0716239564029025,0.143081348380673,8.20936112025256e-05,0.0599126302639883,0.000549733196219379,0.0115137904803631,0.122828171211524,1.18262956019351e-06,2.66212178842679e-05,1.21948809776924e-05,0.0287952808030549,3.07168583312288e-07,0.0346767635030786,0.00042173081760407,0.0148088185764113,6.30114943180288e-05,0.0598473703028031,0.000105814140636385,0.000874419895992982,0.0245718123381828,2.79596109483726e-07,0.000546658052424642,0.0473599234066785,9.50055646838337e-06,0.0037612747432933,0.0038314320706792,0.110450848774457,0.0382377341010209,0.094629079926752,6.42602120247141e-05,5.32296519047145e-07,0.0726949323832966,1.65809578388113e-05,4.24482277350246e-06,1.68046578157839e-06,0.0302562429786249,0.000255093220977643,1.23130962483927e-05,3.39002662855839e-06,5.27645827498259e-06,4.84694383262657e-06,0.0439308142151534,0.0634636573067585,0.082059757403558,0.0004657893116033,0.06683699019033,0.0547495921673168,0.00074870692542572,0.000688069445640218,0.236887802313802,0.0735137066099519,2.41661261720359e-06,0.222170996712229,0.0846376583453067,0.00213768244523314,0.0391873485320104,0.00113606826964488,7.90084637378e-05,0.0459726738213898,0.0218649497734169,0.000100836030542006,0.0386280782851547,0.0142915248321002,0.112834654765824,0.354530176938937,0.220851946775204,0.0373436155388011
"Random: site",0.0184765353429686,7.67002068894894e-05,2.01098545458549e-05,6.00620334442148e-05,6.88716696960147e-05,2.97478027918597e-05,0.0102967754563054,0.0379605474382607,0.0338911323022866,0.0941881364273135,0.0483610732029394,8.8927754561514e-05,0.145319843923081,0.214131202296182,0.0796511253510339,0.106129509048123,0.000138973992632149,0.0445572107111211,0.000834519177584946,0.0179086359734455,0.447340860009546,8.72750465970174e-07,8.49524274123796e-06,9.61942536389465e-06,0.0966820340943813,2.91146088401889e-07,0.0327820305350619,6.88041485146446e-05,0.018694107786698,8.47706201919613e-05,0.149813613138246,0.000243386943836404,0.000207957663584317,0.270056415228955,2.04986792552397e-07,0.000602818964877572,0.0728812812881769,6.83181535951412e-06,0.0112854702914124,0.00134991175784349,2.52419361985029e-07,0.0999655114979092,0.0955172876417099,5.39999306463189e-05,5.22993577202855e-07,0.0835535442319778,2.22422568724731e-05,7.16275525203571e-06,1.95450367707649e-06,0.0406680711053342,0.000270276387538276,9.61993819262751e-06,2.51211766470741e-06,1.56142164826267e-06,5.56792740005143e-06,0.068360131397904,0.0584991838019968,0.105999463822613,0.00024313403635554,0.0872152990964861,0.149302223513777,0.000986920282272708,0.000801612224940199,0.0818769985739606,0.146778657510751,3.41546662514801e-06,0.0729317667918609,0.166541282205358,0.00786695271023801,0.0276316126552596,0.000509867957676363,0.000278262055085863,0.11684047202609,0.0461671883285039,0.000225981670746134,0.0524250446367183,0.0112566795368216,0.182015609005813,0.143411604018411,0.0605055224944399,0.0431128541957865
"Random: id",0.00478811841392869,0.000175465131975169,5.04049618678497e-06,2.43303585813097e-05,1.17474012435354e-05,6.68072979623948e-06,0.000743878967114723,0.00382111732815702,0.0151180337097644,0.051110850874913,0.0113487912335391,1.28016570474657e-05,0.0166376962745969,0.022040553183543,0.00453044956420428,0.0500672053356713,1.83679282994611e-05,0.00479914101803075,0.000216273040801428,0.00819256446937631,0.00837089020947629,1.65428802047156e-06,7.46369928604587e-06,1.56836645237311e-06,0.00456269416737373,4.04890251418285e-08,0.00923646887325314,4.99383130210917e-05,0.00381665948288914,1.37195628697259e-05,0.0134988324292033,7.60025054432644e-06,6.29101142421125e-05,0.0313084860501369,2.54326759379711e-08,0.000352626534795148,0.0132943342703316,3.01541040679242e-06,0.000508525665151391,0.000204548388855902,0.0112241721202263,0.00943369551366581,0.0202855271025436,8.777378938237e-06,2.11574783761685e-07,0.0126647931312484,2.10614196723313e-06,9.40665125999711e-07,5.38546548363932e-08,0.00722893396920876,0.000166236309607873,5.59668882869024e-07,1.39213845203947e-06,6.49383949672093e-06,1.31536110004372e-06,0.022396594988122,0.00264118210757262,0.00891695103950819,0.00013137722900422,0.0105552842626835,0.00357091192342213,0.000706747982548567,0.000722191986142432,0.0134630680675746,0.0379646861167739,4.2341430077585e-07,0.010940807879201,0.0203025840805626,0.000944075372127788,0.00395026177093832,0.000644223749851308,3.00452075377555e-05,0.0406969922347133,0.0045353994911188,0.000124755107209733,0.00652871915337033,0.0107591497724938,0.0198517218856552,0.0135349775939541,0.00912814132567833,0.00594645985539425
"TjurR2",0.356232153943605,0.194547017352701,0.198800978636041,0.742484642707334,0.351636204812607,0.221985581536276,0.415000920275712,0.260223454298094,0.241719576954862,0.0556151223184602,0.379391728734554,0.419743191033157,0.0812902156308158,0.122439544284828,0.15177664828494,0.0345621145645598,0.125746919997523,0.126170600798671,0.198605034984168,0.258902338413173,0.0703923547582014,0.270213209040465,0.253332214514837,0.692823478660728,0.24549790587104,0.442744484725621,0.15987964415923,0.916506289998775,0.233666813813241,0.234996638918654,0.0596155264730701,0.291651330974447,0.242019886978229,0.160300857813146,0.548977138103582,0.19801112286831,0.0546036871929749,0.600276717556743,0.128554258870231,0.240642212642661,0.798876632425549,0.106513515483195,0.0281465466948683,0.454571637451414,0.399868511873819,0.0386526020994468,0.292522934993683,0.277576364110732,0.591618765301597,0.126607298735459,0.175473408865664,0.367372032075207,0.159894169639657,0.363968741947561,0.213374218406768,0.136963348697279,0.206774261788643,0.0684371182837054,0.387352326478919,0.0979162296927847,0.116027352741367,0.464659633841634,0.462542573704457,0.0461161703980749,0.0524378442759492,0.307818840627159,0.289026936688246,0.0803303421969282,0.283363711821662,0.166205158393106,0.385554974350488,0.237235247618258,0.0966931803149238,0.283799532347754,0.356338756810649,0.157081145413569,0.401942490066291,0.0210498932252565,0.0546811662999371,0.0674912088849365,0.353044383518317
