"","x"
"(Intercept)",0.106694569621114
"treeBirch",0.0305777862274554
"treePine",0.0517879756524719
"treeSpruce",0.0293026223816955
"volume",0.13768818628853
"decay",0.111317566086877
"index",0.138148087369049
