"","Amphinema.byssoides","Amyloporia.sinuosa","Annulohypoxylon.multiforme","Antrodia.serialis","Aphanobasidium.pseudotsugae","Arachnopeziza.aurata","Arachnopeziza.cornuta","Ascocoryne.cylichnium","Athelia.decipiens","Athelia.neuhoffii","Bertia.moriformis","Bisporella.citrina","Botryobasidium.botryosum","Botryobasidium.subcoronatum","Botryohypochnus.isabellinus","Capronia.cf.pilosella","Ceraceomyces.eludens","Ceratosphaeria.rhenana","Ciliolarina.neglecta","Claussenomyces.atrovirens","Coniophora.olivacea","Dacrymyces.stillatus","Dacrymyces.tortus","Fomes.fomentarius","Fomitopsis.pinicola","Globulicium.hiemale","Gymnopilus.penetrans","Hyaloscypha.aureliella","Hyaloscypha.fuckelii","Hyaloscypha.intacta","Hyaloscypha.leuconica","Hyaloscypha.vitreola","Hyphoderma.setigerum","Hyphodontia.subalutacea","Hysterium.pulicare","Junghuhnia.luteoalba","Kurtia.argillacea","Lachnum.corticale","Lachnum.sp1.","Lachnum.virgineum","Lasiosphaeria.hirsuta/tuberculosa.complex","Lentomitella.cirrhosa","Lentomitella.crinigera","Leptodontidium.trabinellum","Lophium.mytilinum","Melanomma.cf.fuscidulum","Melanomma.pulvis-pyrius","Menispora.cf.glauca/caesia","Merismodes.anomala","Mollisia.sp1.","Mucronella.calva","Mycena.epipterygia","Mycena.rubromarginata","Mycena.stipata","Nemania.serpens","Orbilia.delicatula","Orbilia.sp1.","Orbilia.sp4.","Patinellaria.sanguinea","Peniophorella.praetermissa","Phanerochaete.velutina","Phellinus.ferrugineofuscus","Phellinus.viticola","Piloderma.bicolor","Piloderma.byssinum","Propolis.farinosa","Pseudoplectania.nigrella","Resinicium.bicolor","Resinicium.furfuraceum","Sistotrema.brinkmannii","Skeletocutis.biguttulata","Subulicystidium.longisporum","Tomentella.lapida","Trichaptum.abietinum","Tubulicrinis.borealis","Tubulicrinis.calothtrix","Tubulicrinis.subulatus","Tylospora.fibrillosa","Xenasmatella.vaga","Xylodon.asperus","Xylodon.brevisetus"
"tree",0.941369634446268,0.918436043990347,0.902546121742969,0.95476147677881,0.948812891666384,0.968179874362041,0.957239529182004,0.924976250876301,0.616993330849243,0.691605814855407,0.55425908782393,0.951954506717649,0.78127509049153,0.440918132496763,0.626456047512584,0.557058802905047,0.910544002791854,0.654331621100286,0.888497933948876,0.806818798484288,0.493451981638846,0.928588900989196,0.912041001486283,0.972017810726313,0.793647556234334,0.861169219815031,0.625845915272887,0.979938323172533,0.928371986444896,0.96014568699958,0.695266243427962,0.962130385813228,0.88176532916894,0.716209473201307,0.961757014325791,0.949883743869525,0.557521603046275,0.938646880862554,0.90829838688953,0.92996253478367,0.956163045758159,0.825789834493749,0.594478281877934,0.973240312398469,0.963741699754533,0.614353112773416,0.950132756675673,0.922551053401743,0.853096571877429,0.828003740702268,0.744770762241072,0.852493982184453,0.887145440481982,0.9353467884304,0.970461036134768,0.818994600444719,0.87565096714957,0.651519778195329,0.97395942954611,0.372281938553293,0.651133883990901,0.923609014357455,0.935706637239437,0.485819455131156,0.391353358798454,0.951563598380288,0.472707223469243,0.52010671010339,0.946310342242195,0.813293770473928,0.934309055438476,0.958119021783676,0.753866272887382,0.850571816558371,0.973793147430194,0.882302551793397,0.960065563159064,0.507696552123888,0.41340705398934,0.224894638223452,0.874784412775912
"volume",0.0109957804038949,0.0262266909500774,0.047116058436977,0.0232455487062327,0.0361217991320561,0.00849405441126872,0.0245361183846263,0.0271504205020229,0.278818814731683,0.115002821698453,0.0643999710513858,0.0395688041457452,0.0837197148516757,0.0967468612210224,0.240268684606524,0.144029259385478,0.0370280597666085,0.0815842659540817,0.0544663676489906,0.0410407165174616,0.104736491068427,0.05154259529821,0.0199652788867034,0.0141960138973439,0.128626373617799,0.108221416554495,0.0445706854718175,0.0100730793515373,0.0445630399513956,0.0139457917999548,0.0875537399462462,0.0111657477869312,0.0298205427202324,0.196778154477674,0.00568605155115544,0.0221932606858955,0.0501337997608431,0.0368430749633673,0.0368120512234693,0.0133755289987862,0.0163225647574551,0.0452405910164267,0.140520161849327,0.00736491516319576,0.0187344848642529,0.102214025996308,0.00899814725340228,0.0129124476458201,0.0586923672039997,0.043867356655912,0.182866142516516,0.0749712098501556,0.073640814888998,0.0339522049191516,0.0114422465514562,0.0795219934633759,0.0204009597998291,0.0561190565638012,0.00403842507979519,0.434635716489849,0.214174093699034,0.0232232058309275,0.0271971005971869,0.124490066563692,0.0988947941935682,0.021864006358944,0.0538770050535543,0.215974491700354,0.0202662537304852,0.0657865280825717,0.0167485792261113,0.0238941169225496,0.0846766440630482,0.103836239501805,0.00990562433821636,0.0396106198219209,0.0105278366425937,0.209479410709406,0.0874315499048351,0.433564410076504,0.0327251476219724
"decay",0.0372380440766851,0.0252144777955241,0.0386647337986322,0.00732294708190408,0.00805329327209105,0.011629919544943,0.00846867735576966,0.0146319617093899,0.0257889350317321,0.0705827987951284,0.10120617314717,0.00444715625201654,0.0768759411577087,0.388148322573234,0.07294206730672,0.119990123579668,0.02122148767869,0.219874431179111,0.0428509507981874,0.139582441061645,0.0722210295395381,0.00792013683668763,0.029342221417736,0.00601914404282806,0.0525102441349444,0.00789445092668901,0.282034926345869,0.00468837429175127,0.0146349609713338,0.014952133850879,0.138572429720631,0.0123197793683198,0.0305912604367778,0.0503741366019767,0.0248412032314028,0.0132385175409707,0.33466832486314,0.016224830889463,0.025682164058917,0.017269257960409,0.0128148508037549,0.0921146062235371,0.163525041578187,0.00967633251205141,0.00795954317439148,0.208343007495095,0.0331417526721263,0.0543467988167086,0.0352923588171786,0.0789144768023753,0.0418926347790882,0.0197482404439291,0.0185894873943634,0.018433188495477,0.0108593778389004,0.0547792320495438,0.0225708428993719,0.160047259141497,0.0121765003746628,0.124671162102264,0.0451485751024409,0.0174458491542727,0.0144785543859771,0.135303358806253,0.42115225010325,0.0129402172506962,0.256441149880549,0.153350105012046,0.0169270625508889,0.0846996345492243,0.0283022794961528,0.00948622809487932,0.109317759183092,0.0281763431501721,0.00960581745625045,0.0193259604928223,0.0123794475381526,0.147640501459612,0.0760606062830455,0.0679818496099426,0.0476646779370431
"index",0.0103965410731514,0.0301227872640507,0.0116730860214215,0.0146700274330535,0.00701201592946943,0.0116961516817472,0.00975567507760008,0.0332413669122865,0.0783989193873415,0.12280856465101,0.280134767977514,0.00402953288458942,0.0581292534990853,0.0741866837089811,0.0603332005741722,0.178921814129807,0.0312064497628481,0.0442096817665212,0.0141847476039455,0.012558043936606,0.329590497753189,0.0119483668759055,0.0386514982092783,0.00776703133351535,0.0252158260129231,0.0227149127037841,0.0475484729094268,0.0053002231841784,0.0124300126323744,0.0109563873495867,0.0786075869051605,0.0143840870315207,0.0578228676740497,0.0366382357190418,0.00771573089165096,0.0146844779036087,0.0576762723297412,0.00828521328461639,0.0292073978280829,0.0393926782571346,0.014699538680631,0.0368549682662876,0.101476514694552,0.00971843992628381,0.00956427220682246,0.0750898537351811,0.00772734339879787,0.0101897001357283,0.052918702101392,0.0492144258394452,0.030470460463324,0.052786567521462,0.0206242572346562,0.0122678181549717,0.0072373394748756,0.0467041740423613,0.0813772301512283,0.132313906099372,0.00982564499943179,0.0684111828545932,0.0895434472076242,0.0357219306573453,0.0226177077773991,0.254387119498899,0.088599596904728,0.013632178010072,0.216974621596654,0.110568693184209,0.0164963414764312,0.036220066894276,0.0206400858392597,0.00850063319889462,0.0521393238664779,0.0174156007896517,0.00669541077533939,0.05876086789186,0.0170271526601903,0.135183535707093,0.423100789822779,0.273559102090102,0.0448257616650732
"TjurR2",0.333134114544307,0.15348125782745,0.175332755926153,0.671996088949915,0.305518572206346,0.192331505007886,0.222114119744928,0.243055299245703,0.205699175340991,0.0408429532091604,0.146596351265101,0.394411496426495,0.0571094187517083,0.0556343655586511,0.11762439344422,0.0193085671724569,0.103554516618257,0.103652641716606,0.170151666881782,0.227803809788884,0.0376429384914172,0.23718176663569,0.209905623854473,0.619994897962515,0.195530033863775,0.354230497167078,0.123191828457714,0.905608319395294,0.216797041163417,0.195147826165531,0.034485914659521,0.253131011252976,0.213574622009093,0.0664935831127553,0.483768513125552,0.165175275522162,0.0437603919148853,0.487194841778151,0.105702582296896,0.222785588521324,0.213310689634302,0.0719082817402585,0.0158802863660419,0.420565441007568,0.365819021316864,0.0297047033351495,0.274043465279621,0.235526214530471,0.201768644758697,0.0973604976093893,0.138102523237395,0.296103509601212,0.14415466004647,0.307438047273871,0.190474000408443,0.0677316607735988,0.181693567817008,0.051927984991768,0.353306064701738,0.0644337075788284,0.0852215506612189,0.366863301740423,0.404913105204259,0.0312948685456079,0.0252345854617942,0.254158057840438,0.0775850689325872,0.0544693439551859,0.258917901645077,0.156821819509286,0.325126905632658,0.166858962574027,0.0503747692608317,0.227433677148723,0.334109675961357,0.144484698461229,0.378892896986364,0.00575332654244592,0.0376349886285071,0.0588966293818266,0.328052527074407
